Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
10001,Dothan,AL,36301,HOUSTON,0 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,3 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,17,16
10005,Boaz,AL,35957,MARSHALL,7 out of 10,3 out of 9,7 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,4 out of 9,5 out of 10,7 out of 10,2 out of 9,7 out of 10,7 out of 10,0 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,51,20
10006,Florence,AL,35631,LAUDERDALE,1 out of 10,1 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9,12
10007,Opp,AL,36467,COVINGTON,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8 out of 10,9 out of 9,9 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,8 out of 9,8 out of 10,2 out of 10,4 out of 9,4 out of 10,40,17
10008,Luverne,AL,36049,CRENSHAW,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,4 out of 10,2 out of 9,4 out of 10,4 out of 10,5 out of 9,5 out of 10,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,30,15
10011,Birmingham,AL,35235,JEFFERSON,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,11,16
10012,Fort Payne,AL,35968,DE KALB,4 out of 10,2 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,1 out of 9,3 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,1 out of 9,2 out of 10,31,20
10016,Alabaster,AL,35007,SHELBY,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,5 out of 9,5 out of 10,1 out of 10,0 out of 9,1 out of 10,10,15
10019,Sheffield,AL,35660,COLBERT,3 out of 10,0 out of 9,3 out of 10,5 out of 10,0 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,24,20
10021,Ozark,AL,36360,DALE,4 out of 10,4 out of 9,4 out of 10,4 out of 10,4 out of 9,4 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,4 out of 10,5 out of 9,5 out of 10,5 out of 10,5 out of 9,5 out of 10,4 out of 10,7 out of 9,7 out of 10,1 out of 10,4 out of 9,4 out of 10,34,19
